time,m_ballast_pumped,m_pitch,m_pressure,density
2024-08-05T16:27:31Z,NaN,NaN,NaN,1024.7024
2024-08-05T16:27:31Z,NaN,NaN,NaN,NaN
2024-08-05T16:27:38Z,NaN,NaN,NaN,1024.6921
2024-08-05T16:27:39Z,NaN,NaN,2.4937,NaN
2024-08-05T16:27:43Z,NaN,0.39968,NaN,NaN
2024-08-05T16:27:45Z,NaN,NaN,NaN,1024.6782
2024-08-05T16:27:51Z,NaN,NaN,NaN,NaN
2024-08-05T16:27:52Z,NaN,NaN,NaN,1024.6553
2024-08-05T16:27:59Z,NaN,NaN,NaN,1024.5765
2024-08-05T16:28:03Z,NaN,NaN,NaN,NaN
2024-08-05T16:28:06Z,NaN,NaN,NaN,1024.5555
2024-08-05T16:28:11Z,NaN,NaN,NaN,NaN
2024-08-05T16:28:13Z,NaN,NaN,NaN,1024.3896
2024-08-05T16:28:20Z,NaN,NaN,NaN,1023.8582
2024-08-05T16:28:23Z,NaN,0.39968,NaN,NaN
2024-08-05T16:28:27Z,NaN,NaN,NaN,1022.0289
2024-08-05T16:28:27Z,NaN,NaN,0.715716,NaN
2024-08-05T16:28:31Z,NaN,NaN,NaN,NaN
2024-08-05T16:28:34Z,NaN,NaN,NaN,1021.21265
2024-08-05T16:28:39Z,NaN,NaN,NaN,NaN
2024-08-05T16:28:41Z,NaN,NaN,NaN,1021.1946
2024-08-05T16:28:43Z,NaN,NaN,NaN,1024.2759
2024-08-05T16:28:55Z,NaN,NaN,NaN,NaN
2024-08-05T16:29:11Z,NaN,NaN,NaN,NaN
2024-08-05T16:29:15Z,NaN,NaN,-0.0342145,NaN
2024-08-05T16:29:19Z,NaN,NaN,NaN,NaN
2024-08-05T16:29:23Z,NaN,NaN,NaN,1024.5948
2024-08-05T16:29:27Z,NaN,NaN,NaN,NaN
2024-08-05T16:29:31Z,NaN,NaN,NaN,1024.5972
2024-08-05T16:49:07Z,NaN,NaN,NaN,NaN
2024-08-05T16:49:16Z,541.033,0.486947,-0.0597303,NaN
2024-08-05T16:49:24Z,NaN,NaN,NaN,NaN
2024-08-05T16:49:36Z,NaN,NaN,NaN,NaN
2024-08-05T16:49:49Z,NaN,NaN,-0.0388537,NaN
2024-08-05T16:50:01Z,NaN,NaN,NaN,NaN
2024-08-05T16:50:05Z,NaN,NaN,NaN,NaN
2024-08-05T16:50:09Z,NaN,NaN,NaN,NaN
2024-08-05T16:50:13Z,NaN,NaN,NaN,1024.6593
2024-08-05T16:50:17Z,NaN,NaN,NaN,1024.6593
2024-08-05T16:50:21Z,NaN,NaN,NaN,NaN
2024-08-05T16:50:29Z,NaN,NaN,NaN,1024.6464
2024-08-05T16:50:33Z,NaN,NaN,NaN,1024.6385
2024-08-05T16:50:37Z,NaN,NaN,-0.0365341,NaN
2024-08-05T16:50:41Z,NaN,NaN,NaN,1024.6293
2024-08-05T16:50:49Z,NaN,NaN,NaN,NaN
2024-08-05T16:50:53Z,NaN,NaN,NaN,1024.6117
